Hour,Time_Range,Sample_Count,Mean_Queue_Time,Median_Queue_Time,Std_Queue_Time,Q1_Queue_Time,Q3_Queue_Time,Mean_Active_Drivers,Std_Active_Drivers
T1,00:00-01:00,0,0.0,0.0,0.0,0.0,0.0,22.0,9.899494936611665
T2,01:00-02:00,0,0.0,0.0,0.0,0.0,0.0,53.5,6.551081335677848
T3,02:00-03:00,1,0.9128806950547244,0.9128806950547244,0.0,0.9128806950547244,0.9128806950547244,74.0,7.0710678118654755
T4,03:00-04:00,0,0.0,0.0,0.0,0.0,0.0,126.16666666666667,26.80433215400492
T5,04:00-05:00,0,0.0,0.0,0.0,0.0,0.0,293.5,74.15468067941947
T6,05:00-06:00,0,0.0,0.0,0.0,0.0,0.0,675.3333333333334,151.17061736844087
T7,06:00-07:00,9,13.426648654633603,10.802522361935019,6.969544331236016,7.607792429503434,21.50396411197221,1304.6666666666667,215.32507724110746
T8,07:00-08:00,29,14.393049402048353,10.802998316397122,9.345184556425258,7.701806681512323,21.30405000316415,2083.8333333333335,226.83798672669934
T9,08:00-09:00,94,15.463157174107838,13.330980157863081,11.973207655726588,4.170429650169169,22.387124409007896,2866.1666666666665,221.53360668054154
T10,09:00-10:00,105,22.106344935793476,19.70048887617361,19.43245487950084,6.851961844931452,31.07106545148224,3603.0,196.04931352425933
T11,10:00-11:00,173,20.035860031141592,13.128957778491781,19.055517019000202,5.814175952760593,30.31546978646884,4089.3333333333335,69.36297443321055
T12,11:00-12:00,240,20.832574912604763,15.470621863467898,21.20099857302833,4.914625662123143,30.76509681054796,4246.5,15.542951242712348
T13,12:00-13:00,232,20.893795253240295,15.064792304876221,19.71203063929186,5.744695695659772,31.544153877742616,4159.833333333333,42.709938994207064
T14,13:00-14:00,223,22.757614820446037,13.400211977983076,32.47586931438358,5.015557866544839,31.631410097380694,3908.5,103.86650085566568
T15,14:00-15:00,178,20.63182200121462,14.861910436113078,22.08494389558704,6.1274344907099305,28.179678118432037,3527.1666666666665,121.69143583488345
T16,15:00-16:00,170,22.11419874033197,16.92769118791307,22.086659632106134,7.280941835196103,31.161453729602385,3073.1666666666665,135.51557926018035
T17,16:00-17:00,121,29.084985102102483,17.423680926884458,38.96975999999,6.100785009948936,36.084911968778556,2660.1666666666665,105.81180883478407
T18,17:00-18:00,84,20.18903940162068,13.354859456995086,19.019066706340112,7.871014771630087,28.968275429033383,2253.3333333333335,119.49988377493187
T19,18:00-19:00,69,27.14980227528484,17.688996000211773,45.20155576795566,5.776130673998523,33.01849423451631,1899.1666666666667,91.48299781319416
T20,19:00-20:00,48,21.612804518971732,15.198083494236016,19.277730990311735,8.55330635452259,33.20604220540747,1552.1666666666667,109.56340122910062
T21,20:00-21:00,40,23.18742923926115,22.667351023900665,18.10775789633487,8.596823126558093,32.00296890705772,1211.6666666666667,86.6134451969721
T22,21:00-22:00,11,18.36385197134318,13.636811246028628,14.766469331151479,8.503379391817589,27.459630966073973,932.0,76.67463726683029
T23,22:00-23:00,9,28.512847782899826,16.551653975549698,38.298539125956545,6.711853784597224,29.947760112632977,693.8333333333334,55.267279851845636
T24,23:00-24:00,8,49.777629334044605,24.624554295174107,60.80777453932267,6.2583149621870575,60.308414713131754,517.8333333333334,44.322367064747596
