Hour,Hour_Number,Mean_SoC,Median_SoC,Std_SoC,Q1_SoC,Q3_SoC,Sample_Count
T1,1,0.7116824120393307,0.7216620852685955,0.020471166874348256,0.7013837992779477,0.7247290516816456,20
T2,2,0.6025820471768568,0.5993872189078362,0.0369967106202247,0.5662055866541877,0.6301645540293153,23
T3,3,0.5262319559999977,0.5229507233826155,0.012258094962333835,0.5186298303916195,0.5362498651465144,23
T4,4,0.5849282935971949,0.5952858870690797,0.029169338836484877,0.5570355664979324,0.6133308939240321,27
T5,5,0.6195362567993806,0.6185839618669058,0.008046832327363213,0.6146592321987513,0.6264441569123759,29
T6,6,0.6033766169561436,0.6049949329623159,0.004282895233074811,0.6023666358180909,0.6061420907207987,29
T7,7,0.589352397743443,0.5913303917667992,0.005168646621021824,0.5863452234989169,0.5930280741117039,29
T8,8,0.5618937001957095,0.5637850685477653,0.008539079443235655,0.5541319751476942,0.5697888288259324,30
T9,9,0.540748444829578,0.5411465596066414,0.0021656428352616343,0.5389804021345457,0.5420094494676412,30
T10,10,0.5348489720546308,0.5340147590855118,0.004482924968548337,0.5307730510792308,0.5385723670002182,30
T11,11,0.5144300777954549,0.512632615989312,0.007334069777950413,0.5091629801342512,0.5194290975348049,29
T12,12,0.5059556416516185,0.505809992544916,0.0010950681480105223,0.5052815047510957,0.5065701619480996,30
T13,13,0.5019568241449155,0.5017911542543937,0.002268194793587084,0.5006384121192521,0.5035114969932704,30
T14,14,0.495544818556148,0.4945369810273867,0.0027600908184114725,0.4938344384933263,0.4977711772185669,30
T15,15,0.4905110021592382,0.49004398130751425,0.0023356378055247665,0.4888705136766072,0.4928121902502445,29
T16,16,0.48271072180759833,0.4828575070436161,0.0015447314189328755,0.48169500953629996,0.48390912918765727,30
T17,17,0.48524771586004417,0.48477059252525967,0.002789743764885438,0.48320611834540383,0.48815337069039527,29
T18,18,0.47890293074483725,0.47985541301701895,0.003722089901388611,0.47547707704683406,0.482394433817407,30
T19,19,0.473922947781951,0.4732153953524726,0.0027728151166305,0.47170886425484393,0.4762138526188883,29
T20,20,0.46954133080950566,0.4698484111808493,0.0022846716086728914,0.46835279656407514,0.47072817650265825,29
T21,21,0.4708955788642889,0.47224370554068607,0.006376781706613065,0.4643762918069763,0.4762535577253467,29
T22,22,0.4545110530495521,0.4551730109894025,0.003840188909474518,0.45135860565996083,0.4574586810254496,29
T23,23,0.4488994945189595,0.4483964774718745,0.004000541600287861,0.4463423612026316,0.4500234446158875,28
T24,24,0.44573827856478665,0.44666157018692576,0.006292760138857146,0.4427019318459848,0.45056061141853443,28
